deviceuid,timestamp,led_1_state,temperature_value,led_3_state,led_2_state,light_value,led_4_state,button_a_presses,button_b_presses,accelerometer_x,accelerometer_y,accelerometer_z,device_battery,accelerometer_mag
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.505263588+00:00,,,,,1366.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.522116785+00:00,,,,,1398.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.538838588+00:00,,,,,1429.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.555597046+00:00,,,,,1481.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.572900917+00:00,,,,,1528.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.589133536+00:00,,,,,1584.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.632007225+00:00,,,,,1647.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.640510105+00:00,,,,,1699.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.678812172+00:00,,,,,1758.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.761603160+00:00,,,,,1830.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.807125618+00:00,,,,,1885.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.817872582+00:00,,,,,1937.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.848971241+00:00,,,,,1980.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.933122438+00:00,,,,,2036.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.977375191+00:00,,,,,2087.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:02.988587808+00:00,,,,,2135.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.014547029+00:00,,,,,2182.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.106218951+00:00,,,,,2226.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.151779317+00:00,,,,,2277.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.151963627+00:00,,,,,2333.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.185587340+00:00,,,,,2392.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.276933041+00:00,,,,,2448.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.318146068+00:00,,,,,2499.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.332215030+00:00,,,,,2559.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.343739890+00:00,,,,,2622.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.466409032+00:00,,,,,2670.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.501083259+00:00,,,,,2725.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.508305360+00:00,,,,,2789.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.508435515+00:00,,,,,2860.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.632916181+00:00,,,,,2911.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.680881074+00:00,,,,,2951.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.681041660+00:00,,,,,2983.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.681119195+00:00,,,,,3003.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.807307361+00:00,,,,,3014.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.853785279+00:00,,,,,3022.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.859774852+00:00,,,,,3026.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.859961648+00:00,,,,,3042.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:03.994913032+00:00,,,,,3058.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:04.021010048+00:00,,,,,3074.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:04.021196632+00:00,,,,,3094.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:04.037222040+00:00,,,,,3114.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:04.172886843+00:00,,,,,3125.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:04.189317018+00:00,,,,,3137.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:04.189486888+00:00,,,,,3133.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:04.211410292+00:00,,,,,3125.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:04.343490184+00:00,,,,,3114.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:04.355812993+00:00,,,,,3094.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:04.369641208+00:00,,,,,3078.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:04.428391188+00:00,,,,,3062.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:04.516276212+00:00,,,,,3050.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:04.525409845+00:00,,,,,3046.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:04.539292143+00:00,,,,,3042.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:05.065586722+00:00,,,,,,,1.0,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:05.215607689+00:00,,,,,,,2.0,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:05.355259975+00:00,,,,,,,3.0,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:05.482260957+00:00,,,,,,,4.0,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:05.628969940+00:00,,,,,,,5.0,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:33:05.762507913+00:00,,,,,,,6.0,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:48.975652861+00:00,,32.2,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:48.995110492+00:00,,32.1,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:49.027890359+00:00,,31.8,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:49.049361398+00:00,,31.6,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:49.068872147+00:00,,31.0,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:49.077820196+00:00,,30.6,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:49.094748617+00:00,,30.2,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:49.113445030+00:00,,29.8,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:49.128013604+00:00,,29.4,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:49.145266177+00:00,,29.1,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:49.161916846+00:00,,28.9,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:49.178298480+00:00,,28.8,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:49.540504168+00:00,,,,,,,7.0,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:49.683724538+00:00,,,,,,,8.0,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:49.803657962+00:00,,,,,,,9.0,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:49.956935885+00:00,,,,,,,10.0,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:50.621560052+00:00,,,,,,,,1.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:50.763679321+00:00,,,,,,,,2.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:50.903650528+00:00,,,,,,,,3.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:51.037762773+00:00,,,,,,,,4.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:38:51.182916455+00:00,,,,,,,,5.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:35.270753467+00:00,False,28.8,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:39.471333765+00:00,False,28.7,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:39.540136149+00:00,False,28.8,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:39.589951504+00:00,False,29.0,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:39.623209501+00:00,False,29.5,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:39.675777134+00:00,False,31.0,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:39.706307610+00:00,False,32.2,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:39.759204079+00:00,False,33.7,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:39.789518464+00:00,False,34.3,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:39.839225332+00:00,False,35.0,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.006083322+00:00,False,34.9,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.056061926+00:00,False,34.2,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.106201583+00:00,False,33.2,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.155921442+00:00,False,32.5,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.205052423+00:00,False,32.1,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.239122364+00:00,False,31.8,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.289108229+00:00,False,31.4,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.339372018+00:00,False,31.0,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.372301226+00:00,False,30.7,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.421624533+00:00,False,30.3,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.455378493+00:00,False,29.9,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.505491373+00:00,False,29.4,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.539270548+00:00,False,28.8,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.590399269+00:00,False,27.9,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.639173224+00:00,False,27.3,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.689120265+00:00,False,26.8,False,False,3042.0,False,0.0,0.0,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:41:40.722739770+00:00,False,26.6,False,False,3042.0,False,0.0,0.0,,,,,0.0
